#GO_term: the GO term
#Avg_gene_number: on the average this number of genes are found per simulation for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#SNP_num: using the candidate SNPs this number of genes was found for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#p-value: p-value (uncorrected for multiple testing)
#FDR: FDR (p-value after adjustment for multiple testing)
#Obs_gene_number: the number of genes (uniq) found for the given GO category
#Exp_gene_number: the number of genes that could at most be found for the given GO category, i.e.: genes of the given GO category that have an corresponding entry in the annotation file and contain at least one SNP
#Total_GO_genes: total number of genes for the given GO category in the GO association file
#GO_id: description of the given GO term
#Genes: comma separated list of the gene_ids found for the given GO category
GO_term	Avg_gene_number	SNP_num	p-value	FDR	Obs_gene_number	Exp_gene_number	Total_GO_genes	GO_id	Genes
GO:0042800	0.05	1	0.04932	0.971690529	1	5	6	histone methyltransferase activity (H3-K4 specific)	fbgn0003862
GO:0090502	0.051	1	0.05021	0.971690529	1	24	27	"RNA phosphodiester bond hydrolysis, endonucleolytic"	fbgn0035838
GO:0045504	0.052	1	0.05094	0.971690529	1	13	17	dynein heavy chain binding	fbgn0034566
GO:0044260	19.837	27	0.05148	0.971690529	27	2445	3020	cellular macromolecule metabolic process	"fbgn0261786,fbgn0028382,fbgn0034202,fbgn0030687,fbgn0034218,fbgn0034459,fbgn0011817,fbgn0003862,fbgn0030674,fbgn0038704,fbgn0035838,fbgn0002914,fbgn0260934,fbgn0034231,fbgn0030660,fbgn0027093,fbgn0038202,fbgn0034521,fbgn0015949,fbgn0027083,fbgn0263667,fbgn0065035,fbgn0003435,fbgn0052369,fbgn0016694,fbgn0003392,fbgn0029006"
GO:0008152	36.28	45	0.05158	0.971690529	45	4612	5328	metabolic process	"fbgn0261786,fbgn0038237,fbgn0034553,fbgn0028382,fbgn0022710,fbgn0259110,fbgn0034202,fbgn0030687,fbgn0034218,fbgn0034459,fbgn0011817,fbgn0003862,fbgn0053080,fbgn0011761,fbgn0030674,fbgn0038704,fbgn0034225,fbgn0024150,fbgn0035838,fbgn0002914,fbgn0260934,fbgn0030662,fbgn0034231,fbgn0030661,fbgn0030660,fbgn0034237,fbgn0027093,fbgn0034518,fbgn0266354,fbgn0038202,fbgn0034521,fbgn0015949,fbgn0027083,fbgn0263667,fbgn0034491,fbgn0034251,fbgn0262570,fbgn0065035,fbgn0014391,fbgn0003435,fbgn0027506,fbgn0052369,fbgn0016694,fbgn0003392,fbgn0029006"
GO:0008139	0.054	1	0.053	0.971690529	1	17	20	nuclear localization sequence binding	fbgn0034205
GO:0098800	0.386	2	0.05337	0.971690529	2	113	147	inner mitochondrial membrane protein complex	"fbgn0034251,fbgn0014391"
GO:0043414	0.375	2	0.05359	0.971690529	2	106	115	macromolecule methylation	"fbgn0003862,fbgn0263667"
GO:0005680	0.055	1	0.0536	0.971690529	1	14	14	anaphase-promoting complex	fbgn0034231
GO:0004438	0.055	1	0.05424	0.971690529	1	7	7	phosphatidylinositol-3-phosphatase activity	fbgn0027506
